AGE,workclass,education_level,EDUCATION-NUM,marital-status,OCCUPATION,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income,event_time,random_flag,source_system
56, Local-gov, Bachelors,13, Married-civ-spouse, Tech-support, Husband, White, Male,0.0$,0,40, United-States,>80K,05/07/24,Y,crm
19, Private, HS-grad,9.00%, Never-married,, Own-child, White, Male,0,0,40, United-States,,01/05/24,Y,crm
39$, Private, HS-grad,9,, Exec-managerial, Not-in-family, White, Male,0,0,80, United-States,<=80K,31/05/24,N,web
49, Private, HS-grad,9, Married-civ-spouse, Craft-repair, Husband,, Male,0,0,40, United-States,<=80K,27/03/26,,web
23, Local-gov, Assoc-acdm,,, Protective-serv, Not-in-family, White, Male,0,0,52, United-States,<=80K,07/09/25,,web
20, Private, Some-college,10, Never-married, Sales,, Black, Male,0,0.0k,, United-States,<=80K,21/09/25,N,batch
45, Private, Bachelors,, Divorced, Exec-managerial, Own-child, White, Male,0,,40, United-States,<=80K,05-29-2024 10:00:21,,app
30,, Some-college,10.00%, Married-civ-spouse, Adm-clerical, Own-child, White, Male,,0,40,,<=80K,09-27-2023 10:00:21,N,web
, State-gov, Some-college,10, Married-civ-spouse, Other-service, Husband, Black, Male,0,0,15, United-States,<=80K,10-24-2025 10:00:21,Y,batch
48,, 11th,7.00%, Never-married, Machine-op-inspct, Unmarried, White, Male,0,0,40, Puerto-Rico,<=80K,02/10/26 10:00,N,batch
21$,, Some-college,10, Never-married, Machine-op-inspct, Own-child,, Male,0,0,40, United-States,<=80K,19/07/24,,batch
19, Private, HS-grad,9, Married-AF-spouse, Adm-clerical, Wife, White, Female,,0,25, United-States,,01/11/25 10:00,Y,crm
48, Self-emp-not-inc, Assoc-acdm,12, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States,<=80K,16/12/23,,batch
31, Private, 9th,5.00%, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,43, United-States,<=80K,01/12/24,N,crm
53, Self-emp-not-inc, Bachelors,13,, Prof-specialty, Husband, White, Male,0,0,40, United-States,<=80K,18/11/23,N,crm
24, Private, Bachelors,,, Tech-support, Husband, White, Male,0,0,50, United-States,,30/12/23,N,batch
49, Private, HS-grad,9, Separated, Adm-clerical, Unmarried, White, Female,0,0,40.00%,,<=80K,,Y,app
25$, Private, HS-grad,9, Never-married, Handlers-cleaners, Not-in-family,, Male,0,0,35,,<=80K,03-23-2026 10:00:21,Y,web
57, Federal-gov, Bachelors,13, Married-civ-spouse,, Husband, Black, Male,,0,40, United-States,>80K,07/12/25,,web
53, Private,,9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,38, United-States,<=80K,12/02/25 10:00,N,app
44$, Private, Masters,14, Divorced,, Unmarried, White, Female,0,0,, United-States,<=80K,07/11/25,N,web
41$, State-gov, Assoc-voc,11, Married-civ-spouse, Craft-repair, Husband,, Male,0,0,40, United-States,<=80K,04/01/24,,app
29$, Private, Assoc-voc,11, Never-married, Prof-specialty, Not-in-family, White, Male,0.0$,0,43, United-States,<=80K,22/08/24,Y,app
25, Private, Some-college,10, Married-civ-spouse, Exec-managerial, Wife, Other, Female,0,0.0k,40, United-States,<=80K,04/03/24,N,app
47$, Private, Prof-school,15, Married-civ-spouse, Prof-specialty, Wife, White, Female,0,1902,60, Honduras,>80K,,N,batch
50, Federal-gov, Bachelors,,, Exec-managerial, Not-in-family, White, Male,0,0,55, United-States,>80K,13/08/23,Y,batch
47, Self-emp-inc, HS-grad,9, Divorced, Exec-managerial, Not-in-family, White, Male,0.0$,,60, United-States,<=80K,05/01/24,N,web
43, Private, Some-college,10, Married-civ-spouse, Tech-support, Husband, White, Male,,0,40, United-States,>80K,13/11/23,,app
46$, Private, 5th-6th,3, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, Mexico,<=80K,09-13-2023 10:00:21,Y,crm
35, Private, Assoc-voc,11, Married-civ-spouse, Other-service, Husband, White,,0,0,40, Puerto-Rico,<=80K,14/10/25,Y,web
41, Private, HS-grad,9, Married-civ-spouse, Adm-clerical, Husband, White, Male,0.0$,0,48, United-States,<=80K,10/04/25,N,crm
30, Private, HS-grad,9.00%,,, Husband, White, Male,5013.0$,0,40, United-States,<=80K,08-15-2024 10:00:21,,crm
30, Private, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,2407,0,40, United-States,<=80K,04/09/25,N,batch
48, Private, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White, Male,0,,, United-States,<=80K,13/11/23,,web
42, Private, Doctorate,16, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,45, United-States,>80K,11/08/25,N,app
29, Private, Some-college,10.00%, Divorced, Tech-support, Not-in-family, White, Male,0,0,58, United-States,,08/05/25 10:00,N,web
36$, Private, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States,<=80K,10-31-2023 10:00:21,N,app
28, Private, Some-college,10, Divorced, Adm-clerical, Not-in-family, White, Female,0,0.0k,40,,,07/09/24,,app
53$, Private, HS-grad,9.00%, Married-civ-spouse, Adm-clerical, Wife, White, Female,0,0,40, United-States,>80K,10-22-2025 10:00:21,,web
49, Self-emp-inc, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50.00%, United-States,>80K,05/09/25,,app
19, Private, Some-college,10, Never-married,, Own-child, White, Male,0,0,32, United-States,<=80K,24/07/24,,app
31, Private, Bachelors,13, Separated, Sales, Own-child, Black, Female,0,,40, United-States,<=80K,09-25-2025 10:00:21,N,app
29, Self-emp-not-inc, Bachelors,13, Married-civ-spouse,, Husband, White, Male,0,,70.00%, United-States,,26/03/24,,web
23, Private, Some-college,10, Never-married, Machine-op-inspct, Not-in-family, White,,0.0$,0,40, United-States,<=80K,05/10/25 10:00,N,web
79, Private, Some-college,10, Married-civ-spouse, Prof-specialty, Other-relative, White, Male,0,0,20, United-States,<=80K,01/02/25 10:00,Y,batch
27, Private, HS-grad,9, Never-married, Other-service,, White, Male,0,0,40, Mexico,<=80K,22/09/25,,web
40, Private,,, Married-civ-spouse, Adm-clerical,, White, Male,0.0$,0,40, United-States,<=80K,27/08/23,Y,web
18, Private, 11th,7.00%, Never-married, Other-service, Own-child, White,,0,,22, United-States,<=80K,27/02/24,,batch
31, Local-gov, 7th-8th,4, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,40,,<=80K,13/06/25,Y,batch
18, Private, HS-grad,9, Never-married, Sales, Not-in-family, White, Male,0,0.0k,30, United-States,<=80K,04-26-2024 10:00:21,N,batch
52, Private, Bachelors,, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, Cuba,<=80K,,,batch
46, Private, HS-grad,9, Married-civ-spouse, Other-service, Wife, White, Female,0,0,40, United-States,<=80K,11-23-2025 10:00:21,Y,web
59, Private,,9.00%,, Sales, Husband, White, Male,0,0,48, United-States,<=80K,02-19-2025 10:00:21,Y,crm
44,, HS-grad,9, Divorced, Craft-repair, Not-in-family, White,,14344,0,, United-States,>80K,12/10/23 10:00,N,batch
53, Private, HS-grad,9.00%, Divorced, Sales, Own-child, White, Female,0,0,, United-States,<=80K,08/10/25,N,app
49, Local-gov, HS-grad,9, Married-civ-spouse, Protective-serv, Husband, White, Male,0.0$,0,40, United-States,>80K,12/05/24 10:00,,web
33, Private, Masters,14.00%, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,50, United-States,<=80K,04/08/23,Y,app
30, Private, 9th,5, Never-married, Sales, Not-in-family,,,0,0,40, United-States,,03-28-2025 10:00:21,,app
43, Federal-gov, Doctorate,16, Never-married,, Not-in-family, White, Female,0,0,, United-States,>80K,03-31-2025 10:00:21,,crm
57, Private, Assoc-voc,11.00%, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States,<=80K,19/12/25,,web
37, Private, Some-college,10, Divorced, Craft-repair, Unmarried, White, Female,0,0,40, United-States,<=80K,31/08/25,,crm
28, Private, Some-college,10,, Machine-op-inspct, Unmarried,, Female,0,0,25, United-States,<=80K,12/11/25,,web
34,, Bachelors,13, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,40, United-States,>80K,13/01/25,N,app
29, Local-gov, Some-college,10.00%, Never-married, Handlers-cleaners, Not-in-family, White, Male,0,0,, United-States,<=80K,22/05/24,Y,web
48$, Self-emp-not-inc, Doctorate,16.00%, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,1902,60.00%, United-States,>80K,19/07/25,,crm
37, Private, Some-college,10, Married-civ-spouse,, Husband, White, Male,0,0.0k,48, United-States,>80K,04/05/25,Y,web
48$, Private, Assoc-acdm,12,, Exec-managerial, Unmarried, White, Female,0,0,40, England,,11-21-2025 10:00:21,,web
32, Federal-gov, HS-grad,9, Never-married, Other-service, Own-child, Black, Male,0.0$,0,40, United-States,,11-26-2023 10:00:21,,crm
76,, Masters,14, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States,>80K,08/10/23 10:00,,crm
44, Private, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,15024.0$,0,60, United-States,>80K,13/02/26,Y,app
47, Self-emp-not-inc, Masters,14, Never-married, Prof-specialty, Not-in-family, White, Female,0,0.0k,50.00%, United-States,<=80K,13/08/25,,web
20, Private,,10, Never-married, Tech-support, Own-child,,,0,0,40.00%, United-States,<=80K,09/12/25,Y,web
29, Private, HS-grad,9.00%, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, United-States,<=80K,12-30-2024 10:00:21,Y,app
32, Self-emp-inc, HS-grad,9, Married-civ-spouse, Craft-repair,, White, Male,7688,0,40, United-States,>80K,26/02/24,,batch
30$,, 11th,7.00%, Never-married, Handlers-cleaners, Own-child, White, Male,0,0.0k,40, United-States,,06/10/25,,web
31, Local-gov, HS-grad,, Never-married, Adm-clerical, Not-in-family,, Female,0.0$,0,40, United-States,<=80K,21/01/25,Y,web
42, Private, HS-grad,9, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, United-States,<=80K,29/08/25,,app
, Private, Bachelors,13, Never-married, Sales, Other-relative, White, Male,0,0,40, United-States,<=80K,10/02/24,,batch
, Private, Prof-school,15.00%, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40.00%, United-States,>80K,26/07/25,N,batch
56, Self-emp-not-inc, HS-grad,9, Married-civ-spouse, Other-service, Husband, White, Male,0,1887.0k,50, Canada,>80K,,,web
28, Private, Some-college,10, Married-civ-spouse, Sales, Wife, White, Female,4064,0,25, United-States,<=80K,12/05/25,Y,app
36, Private, HS-grad,9, Never-married, Machine-op-inspct, Own-child, White, Female,0,0,40, United-States,<=80K,26/10/23,N,app
53, Private, 9th,5, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,50,,,15/04/26,Y,batch
56,, Some-college,10, Married-civ-spouse,, Husband,, Male,0,,50, United-States,<=80K,12/04/25,,app
49, Local-gov, Assoc-voc,11, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,40, United-States,>80K,02/11/24 10:00,,web
55, Private, Some-college,10, Married-civ-spouse, Sales, Husband, White,,,0,56, United-States,<=80K,09/06/23 10:00,,web
22, Private, HS-grad,9, Never-married, Craft-repair, Not-in-family,, Male,0.0$,0,41.00%,,<=80K,24/06/25,,batch
21, Private, Some-college,10, Never-married, Other-service, Own-child, White, Female,0,0.0k,40, United-States,<=80K,19/08/23,N,batch
40, Private, Bachelors,13, Married-civ-spouse, Exec-managerial,, White, Male,0,0.0k,60.00%,,<=80K,23/11/23,Y,crm
30, Private, Bachelors,13, Never-married, Exec-managerial, Own-child, Black, Male,0,0.0k,40, Germany,<=80K,11-27-2024 10:00:21,,web
29$, State-gov, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,50.00%, United-States,>80K,10/04/25 10:00,,web
19, Private, Some-college,10,, Other-service, Own-child, Black, Male,0,0.0k,35, United-States,<=80K,11-19-2024 10:00:21,N,batch
47, Private, Bachelors,13.00%, Married-civ-spouse, Exec-managerial, Wife, White, Female,0,0,40, United-States,>80K,22/02/25,Y,batch
20, Private, Some-college,, Never-married, Adm-clerical,, White, Female,0,1719,28, United-States,<=80K,21/10/24,,web
31, Private, Assoc-acdm,12, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,40, United-States,>80K,,,web
39, Private, Some-college,10, Divorced, Craft-repair, Not-in-family, White,,0,0,40, United-States,<=80K,12-20-2024 10:00:21,,web
28, Private, Assoc-acdm,12, Never-married, Sales,, White, Female,0,0,60, United-States,<=80K,21/07/24,Y,app
24$,,,9, Never-married, Other-service, Not-in-family, White, Female,0,1762,40, United-States,<=80K,,N,app
38, Self-emp-not-inc, HS-grad,9.00%, Married-civ-spouse,, Husband, White, Male,4386,0.0k,35.00%,,<=80K,28/09/25,N,app
37, Private, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, United-States,<=80K,16/09/23,N,batch
46, Private, Assoc-acdm,12, Divorced, Tech-support, Not-in-family, Black,,0.0$,0,36, United-States,<=80K,28/03/26,Y,crm
38, Federal-gov, Masters,14, Married-civ-spouse, Prof-specialty,, White, Male,,0,40, Iran,>80K,02-21-2024 10:00:21,,crm
43, Self-emp-not-inc, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,,60, United-States,,11/10/24 10:00,Y,batch
27, Private, Assoc-voc,11, Married-civ-spouse, Adm-clerical, Wife, White, Female,0,,35, United-States,<=80K,,Y,batch
20,,,10, Never-married, Sales, Own-child, White, Male,0,0,20, United-States,<=80K,08/11/23,Y,crm
49, Private, Some-college,10, Married-civ-spouse,, Husband, Asian-Pac-Islander, Male,0.0$,0,40, United-States,>80K,02-22-2024 10:00:21,,web
61$, Self-emp-inc, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0.0$,0,40, United-States,<=80K,11/09/25 10:00,,crm
27, Private, Some-college,10, Never-married, Sales, Own-child, White, Female,0,0,40, United-States,<=80K,22/04/25,Y,batch
19, Private, Some-college,10.00%, Never-married, Other-service,, White, Male,,0,, Mexico,<=80K,06/11/24,N,crm
45, Private, Assoc-voc,11, Never-married, Prof-specialty, Not-in-family, White, Female,0,1564,40,,>80K,29/11/25,Y,web
70, Private, Some-college,10.00%, Never-married, Tech-support, Other-relative, White, Male,0,0,40, United-States,<=80K,10-21-2024 10:00:21,N,web
31, Private, HS-grad,9.00%, Never-married, Transport-moving, Unmarried, Black, Female,,0.0k,, United-States,<=80K,03/04/24 10:00,Y,batch
22, Private, Some-college,10, Married-civ-spouse, Other-service, Husband, White, Male,0,0.0k,, United-States,<=80K,,,web
36, Private, HS-grad,9,, Other-service, Unmarried, White, Female,0.0$,0.0k,24, United-States,<=80K,12-20-2024 10:00:21,Y,batch
64, Private, 11th,7, Married-civ-spouse, Craft-repair, Husband, White, Male,0,2179,40, United-States,<=80K,08/12/23 10:00,Y,batch
47$,, Some-college,10, Divorced, Adm-clerical, Unmarried, White, Female,0,0,38, Mexico,<=80K,07/07/25,N,web
34, Private, HS-grad,9, Never-married, Adm-clerical, Not-in-family, White,,0.0$,0.0k,40.00%, United-States,,21/09/23,,web
33, Private, Bachelors,13, Never-married, Exec-managerial, Other-relative, Asian-Pac-Islander, Female,0,0,40, Philippines,<=80K,20/08/23,N,app
21, Private, HS-grad,9, Never-married, Craft-repair, Own-child, White, Male,0,0,35, United-States,,,Y,app
48$, Private,,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0.0k,46, United-States,<=80K,23/08/23,N,batch
23, Private, Bachelors,13.00%, Never-married, Handlers-cleaners, Not-in-family, White, Male,0,0,40, United-States,<=80K,20/01/26,Y,batch
71, Self-emp-not-inc, Some-college,10, Separated, Sales, Unmarried, Black, Male,0,1816.0k,2, United-States,<=80K,18/11/25,N,app
29, Private, HS-grad,9, Divorced, Craft-repair, Not-in-family, White, Male,0,0,60, United-States,<=80K,09/05/24,N,batch
42,, Bachelors,13, Separated, Other-service, Other-relative, Black, Male,0,0.0k,50, United-States,<=80K,10/08/23,,crm
25, Private, HS-grad,9, Never-married, Other-service, Unmarried, White, Female,0,0,40, United-States,<=80K,16/09/23,Y,crm
44$, Self-emp-inc, Masters,14, Divorced, Exec-managerial, Unmarried, Asian-Pac-Islander,,0,0,40, United-States,<=80K,22/07/25,,crm
28, Private, HS-grad,, Never-married, Exec-managerial, Not-in-family, Asian-Pac-Islander, Female,0,0,40, England,<=80K,21/01/26,Y,batch
45, Self-emp-not-inc, Masters,14, Married-civ-spouse, Sales, Husband, White, Male,0,0,, United-States,,05/07/25,Y,batch
, Private, Some-college,10,, Other-service, Unmarried, White, Female,0,0.0k,40, Mexico,,27/03/26,N,web
39, Federal-gov, Assoc-acdm,12, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,42, United-States,<=80K,10/04/24 10:00,N,app
46, State-gov, Masters,14, Widowed, Protective-serv, Unmarried, White, Male,0,0.0k,40, United-States,<=80K,10-18-2024 10:00:21,,app
18,, 11th,7, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,16, United-States,<=80K,06-27-2025 10:00:21,,crm
66$, Local-gov, Assoc-voc,11.00%,, Prof-specialty, Not-in-family, White, Female,0,0,20, United-States,<=80K,26/12/23,,web
27, Private, HS-grad,9, Never-married, Other-service, Not-in-family, White, Male,0,1980,40, United-States,<=80K,13/02/26,Y,app
28,, HS-grad,9, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,40.00%, United-States,<=80K,15/07/24,N,web
51, Private, Some-college,10, Married-civ-spouse,, Husband, White, Male,0,1977,40, United-States,>80K,04/10/24,,web
27, Private, Bachelors,13.00%, Never-married, Craft-repair, Not-in-family, White,,,0,50,,<=80K,02-14-2026 10:00:21,Y,crm
28, State-gov, Bachelors,13.00%, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States,>80K,03/11/25,N,batch
27, Private,,9, Married-spouse-absent, Sales, Unmarried, White, Female,0,0.0k,, United-States,<=80K,27/10/25,N,web
21, Private, HS-grad,9, Never-married, Craft-repair, Own-child, Black, Male,0,0,40, United-States,<=80K,09/11/25 10:00,,batch
34, Private, HS-grad,9, Never-married, Handlers-cleaners, Not-in-family, Black, Male,0.0$,0,40, United-States,<=80K,25/07/24,Y,web
18, Private, HS-grad,9, Never-married, Other-service, Own-child, White, Male,,0,12, United-States,<=80K,27/03/25,,web
33, Private, Bachelors,13.00%,, Prof-specialty, Husband, White,,0,0,65.00%, United-States,<=80K,24/09/25,,crm
44, Local-gov, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0.0$,0,38, United-States,>80K,,,batch
43$, Private, Some-college,10, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States,<=80K,17/05/25,,app
30, Private, Some-college,10, Never-married,, Not-in-family, Black, Male,0.0$,0,45, United-States,<=80K,31/01/26,N,web
40,, 7th-8th,4, Married-civ-spouse, Machine-op-inspct,, White,,0,0.0k,40,,>80K,20/03/26,,web
37, Federal-gov, Some-college,10.00%,, Adm-clerical,, White, Male,,0,42, United-States,>80K,12/08/23,N,app
34$, Private, HS-grad,9, Married-civ-spouse, Adm-clerical, Husband, Black, Male,0,0,40, United-States,<=80K,08/12/25,Y,app
41, Self-emp-not-inc, Bachelors,13, Divorced, Exec-managerial, Not-in-family, White, Female,0,0.0k,40, United-States,<=80K,27/04/26,,batch
31, Private, Masters,14, Married-civ-spouse, Prof-specialty,, White, Female,0,0,50, United-States,,,,app
58, State-gov, Doctorate,16.00%, Married-civ-spouse, Prof-specialty, Husband,, Male,0,0.0k,, United-States,,21/02/26,N,batch
38, Private, Some-college,10, Divorced, Machine-op-inspct, Not-in-family,, Female,0.0$,0,, United-States,<=80K,28/02/24,N,web
24, Private, Some-college,10, Married-civ-spouse, Machine-op-inspct,,, Male,0,0.0k,40, United-States,<=80K,09/12/25 10:00,Y,crm
41, Local-gov, Bachelors,, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,40.00%, United-States,<=80K,12/09/25,,app
47, Private, Some-college,10, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,45, United-States,<=80K,01/11/24 10:00,,app
41, Federal-gov, Bachelors,13, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,24, United-States,<=80K,20/11/24,,web
23, Private, 5th-6th,3, Married-civ-spouse, Transport-moving, Other-relative, White, Male,0,0,40, Mexico,,11/05/25,Y,app
36, Private, Some-college,10.00%, Divorced, Craft-repair, Not-in-family, White, Male,0.0$,0,40.00%, United-States,<=80K,18/01/26,Y,app
40, Federal-gov, Masters,14, Never-married, Exec-managerial, Not-in-family, White,,14084,0,55, United-States,>80K,06-13-2024 10:00:21,Y,web
, Private, Masters,14,, Prof-specialty, Other-relative, White, Male,7298,0,40, United-States,>80K,01-21-2024 10:00:21,Y,web
24, Self-emp-not-inc, HS-grad,9, Never-married, Sales, Not-in-family, White, Male,0,0,, United-States,<=80K,11/12/23,N,crm
26, Private, Masters,14.00%, Never-married, Prof-specialty, Not-in-family, White, Female,0,1876,40, United-States,<=80K,13/12/24,,batch
51, Private, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States,>80K,04/12/25 10:00,Y,batch
42, Local-gov, Some-college,10, Never-married, Prof-specialty, Not-in-family, White, Female,,1340,40,,<=80K,08-22-2025 10:00:21,Y,app
37, State-gov, HS-grad,9, Divorced,, Unmarried,, Female,0,0,35, United-States,<=80K,07-23-2025 10:00:21,Y,web
18, Private, 11th,7, Never-married, Sales, Own-child, White, Female,0,0,40, United-States,<=80K,11/06/25,,crm
36, Private, Bachelors,13, Married-civ-spouse, Other-service, Husband, Black, Male,7298,0.0k,36, United-States,>80K,17/09/25,Y,batch
35, Private, HS-grad,9, Divorced, Craft-repair, Not-in-family,, Male,0,,60, United-States,<=80K,12/10/24,,web
58, Self-emp-inc, HS-grad,9,, Sales, Wife, White, Female,15024,0,35,,>80K,26/11/25,,batch
, Private, 11th,7, Never-married, Sales,, White, Female,0,0,12, United-States,<=80K,24/09/25,Y,web
44$, Local-gov, HS-grad,9,, Transport-moving, Husband, Black, Male,0.0$,0,40, United-States,<=80K,15/01/26,Y,crm
37, Private, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States,>80K,21/12/23,N,app
, Private, Some-college,10.00%,, Sales, Not-in-family, Amer-Indian-Eskimo, Female,0.0$,0,40, United-States,<=80K,01-28-2024 10:00:21,,batch
60, Private, HS-grad,9,, Craft-repair, Husband, Asian-Pac-Islander, Male,0.0$,0,40.00%, United-States,<=80K,08/04/25 10:00,Y,web
54, Self-emp-inc, 7th-8th,4, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0.0$,,40, United-States,>80K,24/06/25,N,app
37$, Private, Bachelors,13.00%, Never-married,, Not-in-family, Black, Male,0,0,60, United-States,>80K,16/04/26,,web
50, Private, Assoc-acdm,12, Divorced, Sales, Not-in-family, White, Female,0,0,40, United-States,<=80K,26/09/24,Y,batch
38, Private, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, Poland,<=80K,03-23-2026 10:00:21,,batch
45$, Private, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White,,0,0.0k,55, United-States,<=80K,03-27-2024 10:00:21,N,web
25$, Private,,6.00%, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40,,<=80K,11-19-2025 10:00:21,,crm
31, Private, Some-college,10, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, United-States,<=80K,09/08/23,N,batch
90, Private, HS-grad,9, Never-married, Other-service, Not-in-family, Black, Male,0,2206,40, United-States,<=80K,01-25-2025 10:00:21,,web
54, Private, HS-grad,9, Married-civ-spouse, Adm-clerical, Husband, Black, Male,0,0,20, United-States,<=80K,12-18-2025 10:00:21,Y,crm
, Local-gov, Preschool,1, Never-married, Machine-op-inspct, Not-in-family, White, Female,0.0$,0,35, United-States,<=80K,06/05/24,N,batch
18, Private,,9.00%, Never-married, Sales, Own-child, White,,0,0,40, United-States,<=80K,14/12/23,,app
66, Self-emp-not-inc, HS-grad,9.00%, Married-civ-spouse,, Husband, White, Male,1409,0,50, United-States,,22/02/24,Y,crm
75, Private, Assoc-voc,11, Widowed,, Not-in-family,, Female,0,0,20, Columbia,<=80K,24/05/25,,batch
